SOCIETY_CD,SOCIETY_NAME,CREATED_DATE,CREATED_BY
'PCEPOP','Provincial Council of the English Province of the Order of Preachers',sysdate,0
'PSDFNS','Psychoanalytical Societies in Denmark, Finland, Norway and Sweden',sysdate,0
'PFPI','Public Financial Publications, Inc.',sysdate,0
'PHAA','Public Health Association of Australia',sysdate,0
'QRA','Quaternary Research Association',sysdate,0
'RDMS','R & D Management Society',sysdate,0
'RC','RAND Corporation',sysdate,0
'RUC','Regents of the University of California',sysdate,0
'RSAI','Regional Science Association International',sysdate,0
'RHS','Religious History Society',sysdate,0
'RSPS','Remote Sensing and Photogrammetry Society',sysdate,0
'RHM','Reproductive Health Matters',sysdate,0
'RSA','Research Society on Alcoholism',sysdate,0
'RMA','Resource Modeling Association',sysdate,0
'RESL','Review of Economic Studies Limited',sysdate,0
'RUDRS','Rice University, Department of Religious Studies',sysdate,0
'RAI','Royal Anthropological Institute',sysdate,0
'RAS','Royal Astronomical Society',sysdate,0
'RACP','Royal Australasian College of Physicians',sysdate,0
'RACS','Royal Australasian College of Surgeons',sysdate,0
'RANZCOG','Royal Australian and New Zealand College of Obstetricians and Gynaecologists',sysdate,0
'RANZCO','Royal Australian and New Zealand College of Ophthalmologists',sysdate,0
'RANZCP','Royal Australian and New Zealand College of Psychiatrists',sysdate,0
'RANZCR','Royal Australian and New Zealand College of Radiologists',sysdate,0
'RBGK','Royal Botanic Gardens, Kew',sysdate,0
'RBSN','Royal Botanical Society of the Netherlands',sysdate,0
'RCOG','Royal College of Obstetricians and Gynaecologists',sysdate,0
'RCR','Royal College of Radiologists',sysdate,0
'RCSLT','Royal College of Speech and Language Therapists',sysdate,0
'RDGS','Royal Dutch Geographical Society',sysdate,0
'RGSOA','Royal Geographical Society',sysdate,0
'RIIA','Royal Institute of International Affairs',sysdate,0
'RPS','Royal Pharmaceutical Society',sysdate,0
'RSC','Royal Society of Chemistry',sysdate,0
'RSAS','Royal Swedish Academy of Sciences',sysdate,0
'RH','Ruijin Hospital',sysdate,0
'RCEP','Russian Centre for Economic Policy',sysdate,0
'SCN','Scandinavian College of NeuroPsychopharmacology',sysdate,0
'SDIADR','Scandinavian Division of the International Association for Dental Research',sysdate,0
'SFMSS','Scandinavian Foundation of Medicine and Sceince in Sports',sysdate,0
'SPPS','Scandinavian Plant Physiology Society ',sysdate,0
'SSMMP','Scandinavian Societies for Medical Microbiology and Pathology',sysdate,0
'SSCC','Scandinavian Society for Clinical Chemistry',sysdate,0
'SSCPNM','Scandinavian Society of Clinical Physiology and Nuclear Medicine',sysdate,0
'SA','Schering AB',sysdate,0
'SSMA','School Science and Mathematics Association',sysdate,0
'SP','Scientific Press ',sysdate,0
'SPA','Scots Philosophical Association',sysdate,0
'SIOCCAS','Shanghai Institute of Organic Chemistry, Chinese Academy of Sciences',sysdate,0
'SJUSM','Shanghai JiaoTong University School of Medicine ',sysdate,0
'STTIHSN','Sigma Theta Tau International Honor Society of Nursing',sysdate,0
'SIO','Societa Italiana di Ortodonzia',sysdate,0
'SACME','Society for Academic Continuing Medical Education',sysdate,0
'SAEM','Society for Academic Emergency Medicine',sysdate,0
'GSAMM','German Society for Applied Mathematics and Mechanics',sysdate,0
'SFAMP','Society for Applied Microbiology',sysdate,0
'SAP','Society for Applied Philosophy',sysdate,0
'SBC-','Society for Biology of the Cell -France',sysdate,0
'SCBIO','Society for Conservation Biology',sysdate,0
'SDB','Society for Developmental Biology',sysdate,0
'SER','Society for Ecological Restoration',sysdate,0
'SELS','Society for Empirical Legal Studies',sysdate,0
'SE','Society for Endocrinology',sysdate,0
'SEB','Society for Experimental Biology',sysdate,0
'SEBM','Society for Experimental Biology and Medicine',sysdate,0
'SEM','Society for Experimental Mechanics',sysdate,0
'SHAFR','Society for Historians of American Foreign Relations',sysdate,0
'SIOP','Society for Industrial and Organizational  Psychology',sysdate,0
'SID','Society for Information Display',sysdate,0
'SICB','Society for Integrateive & Comparative Biology',sysdate,0
'SIDESDR','Society for Investigative Dermatology and the European Society for Dermatological Research',sysdate,0
